Time,Calories,HR,Temperature,Steps
19,2.330627189473551,87.11440412206252,87.32723145167573,9.122740900932738
20,2.3863130843093368,87.44001382246812,87.65056110913568,9.346316400001438
21,2.3445476314563365,86.81188656782571,88.06771351601002,10.183084458332859
22,2.5291830078797832,85.47635133824764,88.48276231475796,10.504124224842489
23,2.356186658608124,85.87570446246043,88.48658873877056,10.115704023768107
0,2.667885794493704,87.56951523575142,88.26540825714383,14.420665678283926
1,2.831721685209278,89.7896133127446,87.73316671392807,15.331626887808225
2,2.410005080258157,87.24445996731524,88.16193513202462,9.665946109949797
3,2.0031886071512948,83.53978057499144,89.44262797948886,8.050897514179812
4,2.477417264779535,80.59336641897292,90.36229041307952,11.765817341311687
5,2.0849279092866877,77.28019246218044,90.96544591401519,9.662829638064732
6,1.2425240710806544,72.3365347395261,91.57946793854214,2.940502868758326
7,1.9855052014735959,71.90157305861662,91.60633936259698,5.475258909009748
8,1.1867880410636573,71.2946674377478,91.75223661951094,1.9795102219927723
9,1.1727712928458485,70.50535008353702,91.58304495161143,1.5557689337178242
10,1.190475540372542,69.81907673004949,91.4622838193907,1.7916780258367075
11,1.2775427028234594,69.2819498741284,90.97623729611384,2.4177212649300874
12,1.3832071164938093,70.07840545261135,90.62269959886396,3.5698550940139815
13,1.7013201575293915,75.3090194837367,89.72007558355881,6.212609501229197
14,2.3554883898753824,83.74910042246016,87.67823449013669,11.54362279468627
15,2.405909373750077,86.16994694395954,86.94667280193865,11.321343130517812
16,2.1337201342353205,85.20526713200202,87.2093134907738,7.931097641667649
17,2.228367162508144,85.79290313768388,87.11595874943032,8.238825590687354
18,2.2962848879841187,86.16523740274194,87.14245733659303,8.327695445511395